# Each key-value pair is on a new line (\n-only, LF separator)
# Key and value are separated by tab (\t)
# Lines starting with # are comments and are ignored completely
# Inline comments are supported after the second tab

# === core ===
Loading...	Загрузка...
Processing data...	Обработка данных...
Cancel	Отмена
Menu	Меню
Data upload & preview	Загрузка и просмотр данных
Data transformation	Преобразование данных
Distribution analysis	Анализ распределения
Descriptive statistics	Описательная статистика
Comparison analysis	Сравнительный анализ
Correlation analysis	Корреляционный анализ
Directional analysis	Анализ направленности
Reliability analysis	Анализ надёжности
Factor & principal component analysis	Факторный анализ и главные компоненты
Confirmatory factor analysis	Конфирматорный факторный анализ
Cluster analysis	Кластерный анализ
Regression analysis	Регрессионный анализ
Analysis planner	Планирование анализа
Variables	Переменные
Cases	Наблюдения
Settings	Настройки
Support	Поддержать
R console	Консоль R
Results	Результаты
Please consider citing the works used in your analysis	Пожалуйста, ссылайтесь на работы, использованные в вашем анализе
Key references	Основные источники
Additional references	Дополнительные источники
No analysis results yet. Upload data and run analyses to see results here.	Результаты анализа отсутствуют. Загрузите данные и запустите анализы, чтобы увидеть результаты здесь.
Console	Консоль
Plots	Графики
No plots yet. Use plot(), hist(), etc. in the console.	Графиков пока нет. Используйте plot(), hist() и т.д. в консоли.
Run	Запуск
M. S. Khukhrin	М. С. Хухрин
N/A	Н/Д
Not available	Недоступно
Loading module...	Загрузка модуля...
Some modules failed to load	Некоторые модули не удалось загрузить
Upload data file	Загрузить файл данных
Select a data file to upload (supported formats: XLS, XLSX, CSV, TSV, TXT, ODS, JSON)	Выберите файл данных для загрузки (поддерживаемые форматы: XLS, XLSX, CSV, TSV, TXT, ODS, JSON)
Choose file	Выбрать файл
No file selected	Файл не выбран
Download data file	Скачать файл данных
Select desired file format	Выберите желаемый формат файла
CSV (Comma separated)	CSV (разделенный запятыми)
CSV-2 (Semicolon separated)	CSV-2 (разделенный точкой с запятой)
TSV (Tab separated)	TSV (разделенный табуляцией)
TXT (Plain text)	TXT (обычный текст)
Microsoft Excel (XLSX)	Microsoft Excel (XLSX)
Microsoft Excel 97-2003 (XLS)	Microsoft Excel 97-2003 (XLS)
Microsoft Excel Binary (XLSB)	Microsoft Excel двоичный (XLSB)
OpenDocument (ODS)	OpenDocument (ODS)
HTML table	HTML таблица
JSON (data only, row-based - default)	JSON (только данные, построчно - по умолчанию)
JSON (data only, column-based)	JSON (только данные, по столбцам)
JSON (project)	JSON (проект)
Download	Скачать
Data preview	Предварительный просмотр данных
Upload a file to see data	Загрузите файл для просмотра данных
No data available	Нет доступных данных
Rows per page:	Строк на странице:
Delimited	С разделителями
Spreadsheets	Электронные таблицы
JSON	JSON
Transformation rules	Правила преобразования
+ Value recode	+ Перекодировка значений
+ Range recode	+ Перекодировка диапазонов
+ Formula	+ Формула
+ RegEx replace	+ Регулярное выражение
+ Standardize	+ Стандартизация
Rule library	Библиотека правил
No transformation rules defined yet.	Правила трансформации пока не определены.
Input variables	Входные переменные
Select variables to transform:	Выберите переменные для преобразования:
Edit transformation rule	Редактирование правила преобразования
Rule type:	Тип правила:
Rule name	Название правила
Description (optional)	Описание (необязательно)
Value mappings	Сопоставления значений
Define how values should be recoded.	Определите, как значения должны быть перекодированы.
Original value	Старое значение
New value	Новое значение
Add row	Добавить строку
Range definitions	Определения диапазонов
Define ranges and their output values.	Определите диапазоны и их выходные значения.
Min	Мин
Max	Макс
Output	Значение
Formula expression	Выражение формулы
Use v1, v2, v3, etc. to reference your selected variables. Use @NewVariable = expression to create new variables. Example: @Total = v1 + v2 + v3	Используйте v1, v2, v3 и т.д. для ссылки на выбранные переменные. Используйте @НоваяПеременная = выражение для создания новых переменных. Пример: @Total = v1 + v2 + v3
Functions & operators	Функции и операторы
Available functions:	Доступные функции:
Use v1:v7 syntax for ranges of variables. Example: sum(v1:v7) to sum variables v1 through v7.	Используйте синтаксис v1:v7 для диапазонов переменных. Пример: sum(v1:v7) для суммирования переменных от v1 до v7.
Search pattern (RegEx)	Шаблон поиска
Use regular expressions to match text patterns.	Используйте регулярные выражения для поиска текста, подходящего под шаблон
Replacement text	Заменяющий текст
Use $1, $2, etc. to reference captured groups from the pattern.	Используйте $1, $2 и т. д. для подстановки групп из шаблона
Options	Опции
Global (replace all matches)	Глобально (заменять всё)
Case sensitive	С учётом регистра
Multiline mode	Многострочный режим
Preview	Просмотр
Matches:	Совпадения
Result:	Результат
Standardization method	Метод стандартизации
Z-Score (Mean=0, SD=1)	Z-оценка (среднее=0, СО=1)
Min-max scaling (0-1 range)	Масштабирование мин-макс (диапазон 0-1)
Z-Score standardizes data to have mean=0 and standard deviation=1. Min-Max scaling transforms data to a 0-1 range.	Z-оценка стандартизирует данные до среднего=0 и стандартного отклонения=1. Масштабирование Min-Max преобразует данные в диапазон 0–1.
Save rule	Сохранить правило
Output options	Параметры вывода
Detected output variables	Обнаруженные выходные переменные
The following new variables will be created:	Будут созданы следующие новые переменные:
Specify how the transformation should be applied.	Укажите, как должно применяться преобразование.
Replace original values	Заменить исходные значения
Replace another variable	Заменить другую переменную
Create new variable(s)	Создать новую переменную(ые)
New variable name:	Имя новой переменной:
Variable to replace	Переменная для замены
Select the variable to be filled with the recoded values:	Выберите переменную, которая будет заполнена перекодированными значениями:
e.g., \d{3}-\d{3}-\d{4}	напр., \d{3}-\d{3}-\d{4}
e.g., ($1) $2-$3	напр., ($1) $2-$3
e.g., Score_Transformed	напр., Score_Transformed
Selection	Выбор
Variable types	Типы переменных
Click or drag to select multiple variables. Hold Ctrl/Cmd for multiple selection.	Нажмите или перетащите для выбора нескольких переменных. Удерживайте Ctrl/Cmd для множественного выбора.
Select all	Выбрать все
Deselect all	Снять выбор
Invert selection	Инвертировать выбор
Assign measurement scales to variables. Click or drag across cells to quickly assign types.	Указать типы переменных. Нажмите или зажмите для выбора множества переменных
Variable	Переменная
Con.	Непр.
Ord.	Ранг.
Cat.	Наим.
Apply	Применить
Select cases	Выбрать наблюдения
+ Add categorical filter	+ Добавить категориальный фильтр
+ Add numerical filter	+ Добавить числовой фильтр
No filters added. Click buttons above to add filters.	Фильтры не добавлены. Нажмите кнопки выше, чтобы добавить фильтры.
Clear all filters	Очистить все фильтры
Apply filters	Применить фильтры
Language	Язык
Decimal places	Десятичные знаки
Use exponential notation for large numbers	Использовать научный формат для больших чисел
Scroll to results after analysis	Проматывать страницу к новейшему результату
Confidence level:	Уровень доверия:
Bootstrap replications	Повторы бутстрэпа
P-value settings	Настройки p-значений
p-value display format	Настройки отображения p-значений
Exact value (e.g., 0.031)	Точное p-значение (например, 0.031)
Category (e.g., p ≤ 0.05)	Категория (например, p ≤ 0.05)
Hide p-values	Скрыть p-значения
P-value adjustment method	Метод коррекции p-значений
None	Нет
Bonferroni	Бонферрони
Holm	Холм
Hommel	Хоммель
Hochberg	Хохберг
FDR (Benjamini-Hochberg)	FDR (Бенжамини-Хохберг)
FDR (Benjamini-Yekutieli)	FDR (Бенжамини-Екутели)
Adjusted p-values display	Отображение скорректированных p-значений
Show both original and adjusted	Показать оригинальные и скорректированные
Replace with adjusted values	Заменить оригинальные на скорректированные
Significance level	Уровень значимости
Significant p-value formatting	Форматирование значимых p-значений:
Bold text	Полужирный текст
Colored text	Цветной текст
Colored background	Цветной фон
Text color	Цвет текста
Use hex color format (#RRGGBB)	Используйте шестнадцатеричный формат цвета (#RRGGBB)
Background color	Цвет фона
Show interpretation column (when applicable)	Отображать колонку интерпретации (когда применимо)
Add significance stars to test statistics (e.g., W*)	Добавить звёздочки значимости к значениям критериев (например, W*)
Table style:	Стиль таблицы:
Full borders (all cells)	Полные границы (все ячейки)
APA style (top, bottom, header)	Стиль APA (верх, низ, заголовок)
Borderless (header separator only)	Без границ (только разделитель заголовка)
Horizontal lines only	Только горизонтальные линии
Minimal (top, bottom, header)	Минимальный (верх, низ, заголовок)
Font family	Шрифт
System default	Системный по умолчанию
Font size	Размер шрифта
Missing data settings	Настройки пропущенных данных
Global missing data method	Глобальная обработка пропущенных значений
Pairwise deletion (Use available data for each pass)	Попарное удаление (использовать все доступные данные на каждом проходе)
Listwise deletion (Remove rows with any missing values)	Полное удаление (пропускать строки с любым количеством пропусков)
Imputation (Replace with calculated values)	Импутация (подстановка рассчитанных значений)
Imputation method	Метод подстановки
Mean	Среднее значение
Median	Медиана
Mode	Мода
Constant value	Константа
Save changes	Сохранить
Support the project	Поддержать проект
Support the project via YooMoney	Поддержать проект через ЮMoney
Close	Закрыть
Table converter	Преобразователь таблиц
Configuration	Конфигурация
Stacking pattern	Режим соединения
Grouped by condition	Группировка по замеру
V1 before, V2 before, V1 after, V2 after	П1 до, П2 до, П1 после, П2 после
Grouped by variable	Группировка по переменной
V1 before, V1 after, V2 before, V2 after	П1 до, П1 после, П2 до, П2 после
Number of conditions/time points	Количество замеров
Condition column name	Название столбца замера
Condition labels	Метки замеров
Subject identifier	Идентификатор субъекта
Generate automatically (row numbers)	Создать автоматически (по номерам строк)
Links measurements from the same subject	Связывает данные субъекта из разных замеров
Variables to stack	Переменные для объединения
Select variables which should be stacked	Выберите переменные которые будут объединены
variables selected	переменных выбрано
This will replace your current dataset. Consider saving your project first if needed.	Эта операция заменит Ваш набор данных. Возможно, лучше сначала сохранить файл проекта.
Apply transformation	Применить преобразование
File rules	Правила файла
Click or drag checkboxes to select multiple rules.	Нажмите или зажмите для выбора множества правил
Name	Имя
Type	Тип
Description	Описание
Selected: {count}	Выбрано: {count}
Push to library	Добавить в библиотеку
Library	Библиотека
Pull to file	Добавить в файл
Import	Импорт
Export	Экспорт
Delete	Удалить
Name conflict:	Конфликт имён
Overwrite	Перезаписать
Keep both (rename)	Оставить (переименовать)
Skip	Пропустить
Cancel all	Отменить всё
Import spreadsheet	Импорт таблицы
Sheets	Листы
Sheet	Лист
Size	Размер
Merge strategy	Стратегия объединения
Append rows	Добавить строки
Join columns	Объединить столбцы
Add grouping variable	Добавить группирующую переменную
Column name	Название столбца
Sheet labels	Метки листов
Column mapping	Сопоставление столбцов
Some columns could not be matched by name across sheets. Choose how to resolve each one.	Некоторые столбцы не удалось сопоставить по имени между листами. Выберите, как обработать каждый из них.
Header rows	Строки заголовков
Citations	Источники
Could not save settings to localStorage:	Не удалось сохранить настройки в localStorage:
Could not load settings from localStorage:	Не удалось загрузить настройки из localStorage:
Processing...	Обработка...
Remove this result	Удалить этот результат
Cannot assign numeric type to text variables: {vars}. Use Transform to convert them first.	Невозможно назначить числовой тип текстовым переменным: {vars}. Сначала преобразуйте их с помощью Transform.
Range: from {min} to {max}, mean: {mean}	Размах: от {min} до {max}, среднее: {mean}
(missing)	(пропущено)
Categorical filter	Категориальный фильтр
×	×
Select variable:	Выберите переменную:
Select a variable	Выберите переменную
Select value(s):	Выберите значение(я):
Numerical filter	Числовой фильтр
Set condition:	Установите условие:
Equal to (==)	Равно (==)
Not equal to (!=)	Не равно (!=)
Greater than (>)	Больше чем (>)
Less than (<)	Меньше чем (<)
Greater than or equal to (>=)	 Больше или равно (>=)
Less than or equal to (<=)	Меньше или равно (<=)
Between	Между
Outside	Вне
and	и
Remove this filter	Удалить этот фильтр
Value	Значение
Available commands:	Доступные команды:
R documentation:	Документация R:
R help resources:	Ресурсы справки R:
  example(func)         Run examples for a function	  example(func)         Запустить примеры для функции
  help(), ?function     Are not implemented in WebR yet	  help(), ?function     Ещё не реализованы в WebR
Useful R commands:	Полезные команды R:
  ls()                  List objects in environment	  ls()                  Список объектов в окружении
  str(x)                Show structure of object	  str(x)                Показать структуру объекта
  head(x), tail(x)      First/last rows of data	  head(x), tail(x)      Первые/последние строки данных
  summary(x)            Statistical summary	  summary(x)            Статистическая сводка
  list.files()          List files in working directory	  list.files()          Список файлов в рабочей директории
Resetting R session...	Сброс сессии R...
R session has been reset.	Сессия R сброшена.
No data loaded in the application.	В приложении нет загруженных данных.
Current data bound to "df"	Текущие данные привязаны к «df»
Uploading {filename}...	Загрузка {filename}...
File uploaded: {path}	Файл загружен: {path}
Upload failed: {error}	Ошибка загрузки: {error}
Usage: /output <variable>	Использование: /output <variable>
Example: /output df	Пример: /output df
Object not found: {name}	Объект не найден: {name}
Cannot output object: {name}	Не удаётся вывести объект: {name}
Output sent to results: {name}	Результат отправлен в вывод: {name}
Failed to output: {error}	Не удалось вывести: {error}
Usage: /download <filename>	Использование: /download <filename>
Example: /download output.csv	Пример: /download output.csv
Downloading {path}...	Загрузка {path}...
Download started: {filename}	Загрузка начата: {filename}
Download failed: {error}	Ошибка загрузки: {error}
Make sure the file exists. Use list.files() to see available files.	Убедитесь, что файл существует. Используйте list.files() для просмотра доступных файлов.
Plots cleared.	Графики очищены.
No plots to output.	Нет графиков для вывода.
